店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
"<p class=""fn org summary"" id=""info-name"">鍋屋 鈴蘭亭 中洲本店</p>","<span class=""number"">050-5488-3235</span>",,福岡県,福岡市博多区中洲三丁目,7-13,SAM’S BLD4 2F,https://fc2b700.gorp.jp/,True
"<p class=""fn org summary"" id=""info-name"">博多名物「水だき」新三浦博多本店</p>","<span class=""number"">050-5485-7161</span>",,福岡県,福岡市博多区石城町,21-12,,https://f004700.gorp.jp/,True
"<p class=""fn org summary"" id=""info-name"">薬膳火鍋 灯華</p>","<span class=""number"">050-5492-6593</span>",,福岡県,福岡市中央区西中洲,3-21,AG 西中洲ビル4F,https://fc4y400.gorp.jp/,True
"<p class=""fn org summary"" id=""info-name"">平尾 開</p>","<span class=""number"">050-5487-3333</span>",,福岡県,福岡市中央区平尾三丁目,17-7,TYビル2F,https://f043703.gorp.jp/,True
"<p class=""fn org summary"" id=""info-name"">博多中洲 旬菜万葉</p>","<span class=""number"">050-5486-2707</span>",,福岡県,福岡市博多区中洲五丁目,2-18,THE LIVELY FUKUOKA(ザ ライブリー福岡)B1,https://f048404.gorp.jp/,True
"<p class=""fn org summary"" id=""info-name"">あごだしもつ鍋と旬の野菜 はがくれ</p>","<span class=""number"">050-5489-0809</span>",,福岡県,福岡市博多区中洲五丁目,5-9,サン・ゴールデンビル1F,https://fc4p800.gorp.jp/,True
"<p class=""fn org summary"" id=""info-name"">水炊き うちょうてん</p>","<span class=""number"">050-5485-6562</span>",,福岡県,北九州市小倉北区,鍛治町1-4-2,,https://fap0000.gorp.jp/,True
"<p class=""fn org summary"" id=""info-name"">大名 つつじ庵</p>","<span class=""number"">050-5486-0409</span>",,福岡県,福岡市中央区大名二丁目,9-2,福岡共栄火災ビル1F・B1,https://f030107.gorp.jp/,True
"<p class=""fn org summary"" id=""info-name"">博多牛たん たん博</p>","<span class=""number"">050-5492-7043</span>",,福岡県,福岡市博多区中洲四丁目,1-21,,https://fc45900.gorp.jp/,True
"<p class=""fn org summary"" id=""info-name"">博多もつ鍋 嘉祥</p>","<span class=""number"">050-5493-3352</span>",,福岡県,福岡市博多区博多駅前四丁目,5-6,ラフレシール博多2F,https://fc3s700.gorp.jp/,True
